year,teams,average_age,runs_per_game,ERA,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk
2000,8,26.625,4.8975,4.63,0.0,44,10,281,9187.1,9471,5210,4729,1096,3806,0.0,6740,523,0.0,0.0,40338,1.444625,9.2625,1.0875,3.7125,6.5875,1.79125
2001,8,27.175,5.175,4.70875,1022.0,42,37,262,9440.0,9893,5507,4938,1070,4356,203.0,6419,515,26.0,406.0,41960,1.508875,9.425,1.025,4.15,6.1375,1.4825
2002,8,27.225,4.63625,4.23875,1026.0,38,55,253,9482.7,9517,4932,4465,1127,3388,181.0,7265,658,25.0,354.0,40986,1.360875,9.0375,1.0625,3.225,6.9,2.16875
2003,8,26.825,4.635,4.2700000000000005,1029.0,35,58,272,9432.6,9607,4933,4475,1063,3729,131.0,6094,605,25.0,361.0,41152,1.41375,9.15,1.0,3.5875,5.8125,1.645
2004,8,26.825,4.69,4.29375,1035.0,29,58,273,9463.8,9541,4990,4514,966,3883,156.0,6534,681,28.0,383.0,41351,1.4184999999999999,9.05,0.9125000000000001,3.6999999999999997,6.225,1.68875
2005,8,26.6875,4.59,4.22,985.0,23,64,249,8944.5,8912,4626,4189,876,3458,133.0,6385,711,22.0,365.0,38976,1.38375,8.9875,0.875,3.4875,6.4375,1.86125
2006,8,26.9875,3.95125,3.5825,977.0,31,88,295,8938.8,8469,3981,3560,660,3293,133.0,5889,533,18.0,293.0,38091,1.31575,8.525,0.6875,3.325,5.925,1.8025
2007,8,27.475,4.2725,3.91,985.0,23,66,255,9012.0,8879,4306,3914,703,3615,191.0,5631,519,31.0,330.0,38995,1.3863750000000001,8.8625,0.7,3.6125,5.625,1.5775
2008,8,27.45,4.485,4.1175,987.0,21,62,255,9013.7,9098,4522,4121,646,3589,123.0,5771,482,27.0,352.0,39018,1.407875,9.0875,0.65,3.5749999999999997,5.7625,1.625
2009,8,26.6875,5.1625,4.805,1044.0,20,45,245,9446.5,9938,5492,5035,1155,4290,164.0,6939,564,23.0,424.0,41864,1.507125,9.475,1.1,4.1,6.6125,1.63375
2010,8,27.2125,4.9825,4.58625,1037.0,27,54,227,9490.0,9681,5301,4834,990,4045,161.0,7025,616,28.0,506.0,41597,1.44625,9.175,0.925,3.8375,6.6625,1.7662499999999999
2011,8,27.425,4.53125,4.14,1042.0,22,71,261,9465.9,9409,4822,4353,770,3936,130.0,7004,514,33.0,503.0,41068,1.4097499999999998,8.95,0.7375,3.75,6.6625,1.8025
2012,8,28.475,4.115,3.82125,1031.0,33,82,283,9495.9,9072,4380,4033,615,3698,140.0,6672,498,32.0,460.0,40527,1.3447500000000001,8.5875,0.5875,3.5,6.325,1.8175
2013,9,28.477777777777778,4.644444444444444,4.318888888888889,1131.0,21,58,302,10279.9,10411,5353,4933,798,4350,129.0,7785,704,40.0,530.0,44893,1.4356666666666666,9.122222222222222,0.7222222222222222,3.788888888888889,6.811111111111111,1.808888888888889
2014,9,28.899999999999995,5.623333333333333,5.2155555555555555,1134.0,18,39,261,10188.2,11533,6477,5902,1162,4352,104.0,7657,616,23.0,545.0,45853,1.5591111111111111,10.177777777777777,1.011111111111111,3.8444444444444446,6.766666666666667,1.7866666666666664
2015,10,28.580000000000002,5.2780000000000005,4.8740000000000006,1413.0,27,72,285,12785.1,13804,7598,6925,1511,5254,211.0,10553,871,47.0,754.0,56742,1.4905,9.709999999999999,1.07,3.69,7.42,2.053
2016,10,28.15,5.607,5.172,1422.0,18,49,325,12804.0,14560,8074,7357,1483,5373,140.0,9743,800,57.0,701.0,57614,1.5566,10.26,1.06,3.79,6.859999999999999,1.827
2017,10,28.410000000000004,5.335,4.970000000000001,1416.0,24,64,321,12779.6,14397,7682,7056,1547,4520,185.0,10009,953,45.0,709.0,56882,1.4802,10.129999999999999,1.1,3.17,7.06,2.234
2018,10,28.089999999999996,5.5520000000000005,5.173,1423.0,17,55,304,12763.2,14445,7994,7337,1756,4622,170.0,10688,860,41.0,673.0,56903,1.4936,10.190000000000001,1.24,3.25,7.540000000000001,2.331
2019,10,27.53,4.548,4.168,1417.0,23,103,349,12776.8,13145,6548,5914,1014,4749,147.0,9595,711,39.0,594.0,55627,1.4009,9.26,0.7,3.35,6.74,2.0509999999999997
2020,10,27.380000000000003,5.165,4.759,1430.0,10,85,282,12787.1,13547,7436,6759,1363,5314,163.0,9855,716,46.0,648.0,56643,1.4752,9.55,0.9800000000000001,3.72,6.94,1.884
2021,10,27.119999999999997,4.7909999999999995,4.439,1417.0,13,94,319,12568.9,12477,6848,6200,1145,5852,178.0,10125,789,62.0,594.0,55684,1.4581,8.95,0.8099999999999999,4.2,7.24,1.7469999999999999
