year,teams,average_age,runs_per_game,ERA,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk
2000,30,28.8,5.14,4.76,4624,234,72,1178,43244.1,45246,24971,22876,5693,18237,1210,31356,1573,161,1518,190261,1.468,9.4,1.2,3.8,6.5,1.72
2001,30,28.7,4.78,4.41,4659,199,74,1210,43287.1,43879,23199,21215,5458,15806,1384,32404,1890,151,1484,186976,1.379,9.1,1.1,3.3,6.7,2.05
2002,30,28.8,4.62,4.27,4638,214,87,1224,43269.0,43272,22408,20527,5059,16246,1452,31394,1746,160,1494,186615,1.376,9.0,1.1,3.4,6.5,1.93
2003,30,28.7,4.73,4.39,4651,209,72,1198,43335.1,44057,22978,21153,5207,15889,1316,30801,1849,158,1546,187449,1.383,9.1,1.1,3.3,6.4,1.94
2004,30,29.1,4.81,4.46,4706,150,69,1230,43394.0,44522,23376,21483,5451,16222,1381,31828,1850,157,1478,188539,1.4,9.2,1.1,3.4,6.6,1.96
2005,30,29.2,4.59,4.28,4673,189,63,1254,43232.1,43991,22325,20562,5017,15207,1216,30644,1797,161,1439,186292,1.369,9.2,1.0,3.2,6.4,2.02
2006,30,28.8,4.86,4.52,4714,144,63,1201,43258.0,45073,23599,21722,5386,15847,1410,31655,1817,145,1522,188071,1.408,9.4,1.1,3.3,6.6,2.0
2007,30,28.7,4.8,4.46,4750,112,43,1198,43425.2,44977,23322,21529,4957,16079,1323,32189,1755,139,1498,188623,1.406,9.3,1.0,3.3,6.7,2.0
2008,30,28.6,4.65,4.32,4720,136,54,1184,43357.2,43972,22585,20790,4878,16337,1310,32884,1672,153,1576,187631,1.391,9.1,1.0,3.4,6.8,2.01
2009,30,28.4,4.61,4.31,4708,152,63,1202,43272.0,43524,22419,20731,5042,16620,1179,33591,1590,138,1600,187079,1.39,9.1,1.0,3.5,7.0,2.02
2010,30,28.4,4.38,4.07,4695,165,59,1204,43305.1,42554,21308,19595,4613,15778,1216,34306,1549,182,1674,185553,1.347,8.8,1.0,3.3,7.1,2.17
2011,30,28.3,4.28,3.94,4685,173,75,1243,43527.1,42267,20808,19032,4552,15018,1231,34488,1554,169,1558,185245,1.316,8.7,0.9,3.1,7.1,2.3
2012,30,28.4,4.32,4.01,4732,128,69,1261,43355.1,42063,21017,19301,4934,14709,1055,36426,1494,165,1542,184179,1.309,8.7,1.0,3.1,7.6,2.48
2013,30,28.4,4.17,3.86,4738,124,57,1266,43653.1,42093,20255,18728,4661,14640,1018,36710,1536,128,1736,184873,1.3,8.7,1.0,3.0,7.6,2.51
2014,30,28.5,4.07,3.74,4742,118,65,1264,43613.2,41595,19761,18107,4186,14020,985,37441,1652,128,1696,183929,1.275,8.6,0.9,2.9,7.7,2.67
2015,30,28.4,4.25,3.95,4754,104,51,1292,43407.2,42106,20647,19075,4909,14073,951,37446,1602,141,1758,183628,1.294,8.7,1.0,2.9,7.8,2.66
2016,30,28.3,4.48,4.18,4773,83,36,1276,43306.1,42276,21744,20124,5610,15088,932,38982,1651,148,1808,184580,1.325,8.8,1.2,3.1,8.1,2.58
2017,30,28.5,4.65,4.35,4801,59,27,1179,43257.0,42215,22582,20911,6105,15829,970,40104,1763,155,1810,185295,1.342,8.8,1.3,3.3,8.3,2.53
2018,30,28.4,4.45,4.14,4820,42,19,1244,43489.0,41018,21630,20025,5585,15686,929,41207,1922,151,1847,185139,1.304,8.5,1.2,3.2,8.5,2.63
2019,30,28.4,4.83,4.49,4813,45,26,1180,43423.1,42039,23467,21684,6776,15895,753,42823,1984,153,1788,186517,1.334,8.7,1.4,3.3,8.9,2.69
2020,30,28.3,4.65,4.44,1767,29,12,422,15468.2,14439,8344,7638,2304,6092,202,15586,821,63,675,66506,1.327,8.4,1.3,3.5,9.1,2.56
2021,30,28.7,4.53,4.26,4808,50,29,1191,42615.0,39484,22010,20162,5944,15794,703,42145,2112,155,1862,181818,1.297,8.3,1.3,3.3,8.9,2.67
