year,team,average_age,runs_per_game,wins,losses,win_loss_percentage,ERA,run_average_9,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk
2021,LG Twins,26.3,3.9,72,57,0.558,3.57,3.96,143,143,143,0,18,32,1264.1,1117,557,501,79,542,17,1062,97,5,43,5416,1.312,8,0.6,3.9,7.6,1.96
2021,KT Wiz,28.4,4.06,75,59,0.56,3.67,4.17,143,143,141,2,6,33,1255,1166,581,512,85,486,18,1051,42,1,56,5359,1.316,8.4,0.6,3.5,7.5,2.16
2021,Doosan Bears,27.5,4.57,70,65,0.519,4.28,4.66,143,143,141,2,10,27,1260.1,1288,653,599,104,586,16,1037,73,7,51,5596,1.487,9.2,0.7,4.2,7.4,1.77
2021,Samsung Lions,28.8,4.57,75,59,0.56,4.29,4.7,143,143,141,2,14,46,1250,1287,653,596,129,526,13,1031,51,3,56,5496,1.45,9.3,0.9,3.8,7.4,1.96
2021,NC Dinos,27.7,4.8,67,67,0.5,4.5,4.95,143,143,140,3,10,33,1247.2,1256,686,624,122,585,14,1046,77,8,74,5575,1.476,9.1,0.9,4.2,7.5,1.79
2021,Kiwoom Heroes,25.8,4.89,69,67,0.507,4.33,5.02,143,143,142,1,7,30,1254.1,1276,699,604,100,566,27,893,80,4,58,5568,1.469,9.2,0.7,4.1,6.4,1.58
2021,SSG Landers,27.3,5.13,66,63,0.512,4.8,5.2,143,143,143,0,5,25,1267.2,1283,733,676,147,623,27,1006,78,9,40,5661,1.504,9.1,1,4.4,7.1,1.61
2021,Hanwha Eagles,27,5.13,49,82,0.374,4.67,5.29,143,143,142,1,6,21,1249.2,1200,734,648,114,669,22,1006,101,11,56,5633,1.496,8.6,0.8,4.8,7.2,1.5
2021,Kia Tigers,25.3,5.22,58,75,0.436,4.89,5.33,143,143,142,1,6,36,1260,1274,746,684,133,616,5,946,104,9,58,5658,1.5,9.1,1,4.4,6.8,1.54
2021,Lotte Giants,27.1,5.64,64,71,0.474,5.39,5.75,143,143,142,1,12,36,1262,1330,806,756,132,653,19,1047,86,5,102,5722,1.571,9.5,0.9,4.7,7.5,1.6
2020,Kiwoom Heroes,26.4,4.81,80,63,0.559,4.39,4.86,144,144,144,0,6,42,1280.1,1336,692,624,126,446,16,950,73,7,51,5556,1.392,9.4,0.9,3.1,6.7,2.13
2020,LG Twins,27.4,4.82,79,61,0.564,4.37,4.83,144,144,142,2,13,29,1292.2,1344,694,627,123,493,12,1019,86,4,49,5655,1.421,9.4,0.9,3.4,7.1,2.07
2020,Doosan Bears,26.7,4.83,79,61,0.564,4.31,4.87,144,144,143,1,13,23,1285.2,1395,695,616,109,478,22,1046,61,4,52,5681,1.457,9.8,0.8,3.3,7.3,2.19
2020,NC Dinos,27.5,4.96,83,55,0.601,4.58,4.96,144,144,144,0,7,31,1296.2,1292,714,660,153,547,10,1049,79,7,65,5690,1.418,9,1.1,3.8,7.3,1.92
2020,KT Wiz,27.5,4.97,81,62,0.566,4.54,4.99,144,144,144,0,5,33,1290.1,1357,715,651,118,523,20,848,59,1,75,5680,1.457,9.5,0.8,3.6,5.9,1.62
2020,Lotte Giants,28.8,5,71,72,0.497,4.64,5.07,144,144,143,1,16,25,1277.1,1351,720,659,143,447,25,1002,58,4,62,5583,1.408,9.5,1,3.1,7.1,2.24
2020,Samsung Lions,27.6,5.17,64,75,0.46,4.78,5.27,144,144,141,3,11,25,1272.1,1330,745,676,151,542,16,931,67,5,55,5634,1.471,9.4,1.1,3.8,6.6,1.72
2020,Kia Tigers,27.3,5.52,73,71,0.507,5.13,5.63,144,144,143,1,5,33,1270,1399,795,724,120,559,8,1038,70,4,78,5681,1.542,9.9,0.9,4,7.4,1.86
2020,Hanwha Eagles,27.2,5.69,46,95,0.326,5.28,5.83,144,144,143,1,6,21,1265,1400,820,742,158,609,22,1019,79,5,76,5756,1.588,10,1.1,4.3,7.2,1.67
2020,SK Wyverns,27.4,5.88,51,92,0.357,5.57,6.05,144,144,143,1,3,20,1259.1,1343,846,780,162,670,12,953,84,5,85,5727,1.598,9.6,1.2,4.8,6.8,1.42
2019,SK Wyverns,28.8,3.79,88,55,0.615,3.48,3.8,144,144,144,0,19,51,1292.1,1240,546,500,99,436,12,1092,50,4,50,5463,1.297,8.6,0.7,3,7.6,2.5
